first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,image_url,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Max,Aarons,Bournemouth,Defender,178cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/01/2000  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p232980.png,14,1,29,28,64%,0,1,6,17,3,0,69,69,49,12,4,9,0,0,1,384,27.43,1,11,27%,2,18,1,0,11,2,0,0,0,0,0,,,,,,,,,,,,,,,
Zach,Abbott,Nottingham Forest,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,13/05/2006  (17),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Terry,Ablade,,Forward,,Finland,https://resources.premierleague.com/premierleague/flags/FI.png,12/10/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyler,Adams,Bournemouth,Midfielder,173cm,United States,https://resources.premierleague.com/premierleague/flags/US.png,14/02/1999  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p200785.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tosin,Adarabioyo,Fulham,Defender,196cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,24/09/1997  (26),https://resources.premierleague.com/premierleague/photos/players/250x250/p109646.png,12,3,13,9,56%,0,1,17,51,34,0,21,52,27,1,39,15,0,0,0,701,58.42,0,0,0%,1,40,1,0,4,0,1,1,0,0,0,,,,,,,,,,,,,,,
Tayo,Adaramola,,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,14/11/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Elijah,Adebayo,Luton Town,Forward,193cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/01/1998  (26),https://resources.premierleague.com/premierleague/photos/players/250x250/p174310.png,23,,,1,,,6,5,23,22,,,,,,,,,,0,171,7.43,0,4,,,,1,0,22,11,9,4,5,0,2,0.39,0,0,28,12,43%,3,,,,,,,,
Valintino,Adedokun,Brentford,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,14/02/2003  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Simon,Adingra,Brighton &amp; Hove Albion,Forward,175cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,01/01/2002  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p535818.png,19,,,21,,,5,12,10,4,,,,,,,,,,1,460,24.21,3,45,,,,2,0,17,10,6,1,5,0,0,0.32,0,0,31,14,45%,3,,,,,,,,
Adler,Nascimento,,Forward,,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,25/11/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Adrián,Liverpool,Goalkeeper,190cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,03/01/1987  (37),https://resources.premierleague.com/premierleague/photos/players/250x250/p60706.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Daniel,Adu-Adjei,,Midfielder,177cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/06/2005,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Nayef,Aguerd,West Ham United,Defender,190cm,Morocco,https://resources.premierleague.com/premierleague/flags/MA.png,30/03/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p210494.png,19,2,40,22,50%,0,3,16,76,36,1,97,70,44,2,41,28,0,0,0,"1,033",54.37,0,4,0%,1,97,1,1,9,0,1,1,0,0,0,,,,,,,,,,,,,,,
Brandon,Aguilera,,Midfielder,179cm,Costa Rica,https://resources.premierleague.com/premierleague/flags/CR.png,28/06/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/p461682.png,1,,,0,0%,,0,0,0,0,,0,0,3,0,0,0,,0,0,8,8.00,0,0,0%,0,0,0,0,3,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Enock,Agyei,Burnley,Forward,172cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,13/01/2005  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Naouirou,Ahamada,Crystal Palace,Midfielder,183cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,29/03/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p466117.png,15,,,4,75%,,3,1,3,0,,19,14,19,5,2,2,,0,0,95,6.33,0,5,0%,0,3,1,0,5,0,0,0,0,0,0,0.00,0,0,5,1,20%,0,,,,,,,,
Anel,Ahmedhodzic,Sheffield United,Defender,195cm,Bosnia &amp; Herzegovina,https://resources.premierleague.com/premierleague/flags/BA.png,26/03/1999  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p233821.png,20,1,52,44,61%,0,4,21,86,28,0,75,95,81,8,34,29,0,0,0,657,32.85,0,5,0%,0,29,8,0,26,1,1,0,1,0,1,,,,,,,,,,,,,,,
Ola,Aina,Nottingham Forest,Defender,184cm,Nigeria,https://resources.premierleague.com/premierleague/flags/NG.png,08/10/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p159506.png,14,0,24,26,58%,0,2,8,29,16,0,51,60,43,11,11,8,0,0,1,319,22.79,0,11,18%,1,7,3,0,13,2,1,0,1,0,0,,,,,,,,,,,,,,,
Rayan,Aït-Nouri,Wolverhampton Wanderers,Defender,180cm,Algeria,https://resources.premierleague.com/premierleague/flags/DZ.png,06/06/2001  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p448514.png,22,0,25,48,58%,0,5,12,23,9,1,98,129,103,40,13,18,0,0,1,688,31.27,1,27,19%,2,16,5,0,19,3,0,0,0,0,0,,,,,,,,,,,,,,,
Kristoffer,Ajer,Brentford,Defender,198cm,Norway,https://resources.premierleague.com/premierleague/flags/NO.png,17/04/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p191866.png,18,1,22,23,52%,0,2,14,44,17,0,27,69,43,7,35,12,0,1,1,469,26.06,4,11,27%,1,22,4,0,16,1,0,0,0,0,0,,,,,,,,,,,,,,,
Manuel,Akanji,Manchester City,Defender,186cm,Switzerland,https://resources.premierleague.com/premierleague/flags/CH.png,19/07/1995  (28),https://resources.premierleague.com/premierleague/photos/players/250x250/p211975.png,19,6,17,24,63%,1,3,17,46,24,0,94,61,45,2,19,17,0,0,0,"1,472",77.47,0,6,17%,4,48,2,1,12,0,2,1,0,0,0,,,,,,,,,,,,,,,
Nathan,Aké,Manchester City,Defender,180cm,Netherlands,https://resources.premierleague.com/premierleague/flags/NL.png,18/02/1995  (29),https://resources.premierleague.com/premierleague/photos/players/250x250/p126184.png,21,3,17,19,47%,0,8,8,38,17,0,98,75,36,5,37,21,0,0,2,"1,350",64.29,3,7,14%,1,14,0,0,8,0,2,2,0,0,0,,,,,,,,,,,,,,,
Ameen,Al Dakhil,Burnley,Defender,187cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,06/03/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p487968.png,13,0,26,12,42%,0,3,12,34,25,0,50,33,46,3,14,23,1,1,0,598,46.00,0,3,33%,2,20,1,0,6,0,1,0,0,1,0,,,,,,,,,,,,,,,
Thiago,Alcântara,Liverpool,Midfielder,174cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,11/04/1991  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p61558.png,1,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,10,10.00,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alex,Murphy,Newcastle United,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,25/06/2004  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,1,0,0,0,0%,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,4,4.00,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alex,Telles,,Defender,181cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,15/12/1992,https://resources.premierleague.com/premierleague/photos/players/250x250/p152590.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Trent,Alexander-Arnold,Liverpool,Defender,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/10/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p169187.png,21,4,18,28,68%,2,11,23,33,10,0,138,67,79,25,8,4,0,2,4,"1,244",59.24,13,127,31%,19,112,5,0,5,0,2,0,2,0,3,,,,,,,,,,,,,,,
Alisson,Becker,Liverpool,Goalkeeper,193cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,02/10/1992  (31),https://resources.premierleague.com/premierleague/photos/players/250x250/p116535.png,21,7,19,,,,,,,,,,,,,,,0,2,0,794,37.81,,,,,72,1,0,1,,0,,,,,,,,,,,,58,0,8,11,3,10,100,103
Sonny,Aljofree,,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,19/12/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Josh,Allen,,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/12/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Max,Alleyne,Manchester City,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/07/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Dele,Alli,Everton,Midfielder,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,11/04/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p108823.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Miguel,Almirón,Newcastle United,Midfielder,174cm,Paraguay,https://resources.premierleague.com/premierleague/flags/PY.png,10/02/1994  (30),https://resources.premierleague.com/premierleague/photos/players/250x250/p179018.png,26,,,33,67%,,9,8,10,6,,92,80,78,21,5,6,,0,1,692,26.62,5,22,18%,5,11,1,0,15,8,3,0,0,3,2,0.12,0,0,38,9,24%,3,,,,,,,,
Julián,Álvarez,Manchester City,Forward,170cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,31/01/2000  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p461358.png,26,,,18,,,18,2,12,7,,,,,,,,,,7,873,33.58,7,122,,,,2,0,20,2,8,1,6,1,2,0.31,1,1,73,30,41%,5,,,,,,,,
