Team name,Season,Matches played,Wins,Losses,Goals,Goals per match,Shots,Shots on target,Shooting accuracy %,Penalties scored,Big Chances Created,Hit woodwork,Passes,Passes per match,Pass accuracy %,Crosses,Cross accuracy %,Clean sheets,Goals Conceded,Goals conceded per match,Saves,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Aerial Battles/Duels Won,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Offsides
Liverpool,2023/24,26,18,2,63,2.42,501,183,37%,4,72,19,"14,923",573.96,85%,508,27%,8,25,0.96,71,446,62%,141,199,422,202,"1,794",5,1,47,5,242,60
Liverpool,2022/23,38,19,9,75,1.97,605,212,35%,2,103,16,"22,401",589.50,84%,799,26%,14,49,1.29,114,590,63%,165,333,540,269,"2,196",7,2,57,1,235,84
Liverpool,2021/22,38,28,2,94,2.47,729,256,35%,7,97,10,"23,588",620.74,85%,897,25%,21,26,0.68,82,554,58%,214,341,499,230,"2,329",2,1,50,1,211,63
Liverpool,2020/21,38,20,9,68,1.79,608,214,35%,6,82,12,"24,292",639.26,86%,862,20%,12,42,1.11,100,526,58%,173,347,544,248,"2,328",11,0,40,0,221,65
Liverpool,2019/20,38,32,3,85,2.24,591,231,39%,5,88,17,"23,872",628.21,84%,896,20%,15,33,0.87,76,550,59%,164,352,587,259,"2,553",5,1,38,1,181,53
Liverpool,2018/19,39,30,1,89,2.28,575,226,39%,7,78,19,"23,638",606.10,84%,721,24%,21,22,0.56,76,610,61%,141,314,639,317,"2,518",4,0,38,2,185,77
Liverpool,2017/18,38,21,5,84,2.21,638,233,37%,2,78,16,"22,962",604.26,84%,764,22%,17,38,1.00,67,637,71%,176,379,736,362,"2,565",4,0,44,1,208,70
Liverpool,2016/17,38,22,6,78,2.05,640,236,37%,7,50,17,"22,283",586.39,82%,812,22%,12,42,1.11,73,718,71%,191,410,883,443,"2,812",10,0,54,0,220,77
Liverpool,2015/16,38,16,10,63,1.66,629,202,32%,2,56,16,"19,733",519.29,80%,780,23%,11,50,1.32,81,871,78%,206,549,871,342,"2,891",11,1,61,3,240,91
Liverpool,2014/15,38,18,12,52,1.37,590,192,33%,5,38,12,"19,374",509.84,83%,638,23%,14,48,1.26,93,798,77%,165,442,"1,175",628,"2,817",9,2,66,3,203,75
Liverpool,2013/14,38,26,6,101,2.66,651,258,40%,10,88,27,"19,612",516.11,84%,643,21%,10,50,1.32,107,848,76%,130,465,"1,339",745,"2,858",14,6,54,1,142,78
Liverpool,2012/13,38,16,9,71,1.87,739,232,31%,5,77,19,"19,831",521.87,84%,794,19%,16,43,1.13,9,795,78%,211,526,914,231,"2,495",10,1,54,2,0,110
Liverpool,2011/12,38,14,14,47,1.24,667,207,31%,1,60,33,"18,797",494.66,81%,"1,103",22%,12,40,1.05,0,728,74%,152,505,720,213,"2,378",9,3,53,5,0,128
Liverpool,2010/11,38,17,14,59,1.55,582,205,35%,6,51,12,"16,734",440.37,77%,824,20%,14,44,1.16,0,908,69%,148,592,"1,073",287,"2,692",4,3,63,2,0,87
Liverpool,2009/10,38,18,11,61,1.61,642,189,29%,3,0,20,"18,590",489.21,79%,"1,017",20%,17,35,0.92,4,958,74%,184,763,"1,094",311,"2,744",5,2,55,5,0,62
Liverpool,2008/09,38,25,2,77,2.03,736,224,30%,5,0,26,"19,508",513.37,81%,"1,021",24%,20,27,0.71,5,927,75%,164,657,"1,279",378,"2,541",5,3,50,0,0,98
Liverpool,2007/08,38,21,4,67,1.76,686,214,31%,5,0,13,"16,360",430.53,77%,932,26%,18,28,0.74,0,"1,089",74%,151,614,"1,952",572,"2,718",2,2,45,1,0,93
Liverpool,2006/07,38,20,10,57,1.50,668,214,32%,6,0,15,"17,162",451.63,76%,"1,107",25%,20,27,0.71,3,969,79%,128,246,"1,115",0,"2,404",0,0,44,0,0,120
Liverpool,2005/06,38,25,6,57,1.50,0,0,0%,0,0,0,0,0.00,0%,0,0%,22,25,0.66,0,0,0%,0,0,0,0,0,0,2,47,5,0,0
Liverpool,2004/05,38,17,14,52,1.37,0,0,0%,0,0,0,0,0.00,0%,0,0%,7,41,1.08,0,0,0%,0,0,0,0,0,0,0,43,2,0,0
Liverpool,2003/04,38,16,10,55,1.45,0,0,0%,0,0,0,0,0.00,0%,0,0%,15,37,0.97,0,0,0%,0,0,0,0,0,0,1,49,1,0,0
Liverpool,2002/03,38,18,10,61,1.61,0,0,0%,0,0,0,0,0.00,0%,0,0%,14,41,1.08,0,0,0%,0,0,0,0,0,0,0,46,3,0,0
Liverpool,2001/02,38,24,6,67,1.76,0,0,0%,0,0,0,0,0.00,0%,0,0%,18,30,0.79,0,0,0%,0,0,0,0,0,0,1,41,3,0,0
Liverpool,2000/01,38,20,9,71,1.87,10,5,50%,0,1,1,341,8.97,62%,11,9%,14,39,1.03,4,11,45%,1,8,32,9,116,0,1,49,5,2,1
Liverpool,1999/00,38,19,9,51,1.34,0,0,0%,0,0,0,0,0.00,0%,0,0%,15,30,0.79,0,0,0%,0,0,0,0,0,0,3,60,4,0,0
Liverpool,1998/99,38,15,14,68,1.79,0,0,0%,0,0,0,0,0.00,0%,0,0%,8,49,1.29,0,0,0%,0,0,0,0,0,0,2,65,3,0,0
Liverpool,1997/98,38,18,9,68,1.79,0,0,0%,0,0,0,0,0.00,0%,0,0%,13,42,1.11,0,0,0%,0,0,0,0,0,0,1,54,2,0,0
