first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,Appearances,image_url,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Max,Aarons,Bournemouth,Defender,178cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/01/2000  (24),84,https://resources.premierleague.com/premierleague/photos/players/250x250/p232980.png,10,169,140,66%,1,13,71,161,63,4,401,399,375,94,40,109,1,0,4,"2,820",33.57,10,134,21%,7,92,16,0,67,6,0,0,0,0,0,,,,,,,,,,,,,,,
Zach,Abbott,Nottingham Forest,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,13/05/2006  (17),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Terry,Ablade,,Forward,,Finland,https://resources.premierleague.com/premierleague/flags/FI.png,12/10/2001,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyler,Adams,Bournemouth,Midfielder,173cm,United States,https://resources.premierleague.com/premierleague/flags/US.png,14/02/1999  (25),24,https://resources.premierleague.com/premierleague/photos/players/250x250/p200785.png,,,89,52%,,2,35,25,7,,199,143,109,8,26,15,,0,0,"1,327",55.29,1,2,0%,1,41,4,1,37,1,0,0,0,0,0,0.00,0,0,4,0,0%,0,,,,,,,,
Tosin,Adarabioyo,Fulham,Defender,196cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,24/09/1997  (26),70,https://resources.premierleague.com/premierleague/photos/players/250x250/p109646.png,15,93,76,49%,1,7,85,382,204,0,274,288,165,18,181,80,1,1,0,"3,890",55.57,0,4,25%,3,248,6,0,37,5,2,2,0,0,0,,,,,,,,,,,,,,,
Tayo,Adaramola,,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,14/11/2003,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Elijah,Adebayo,Luton Town,Forward,193cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,07/01/1998  (26),23,https://resources.premierleague.com/premierleague/photos/players/250x250/p174310.png,,,1,,,6,5,23,22,,,,,,,,,,0,171,7.43,0,4,,,,1,0,22,11,9,4,5,0,2,0.39,0,0,28,12,43%,3,,,,,,,,
Valintino,Adedokun,Brentford,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,14/02/2003  (21),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Simon,Adingra,Brighton &amp; Hove Albion,Forward,175cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,01/01/2002  (22),19,https://resources.premierleague.com/premierleague/photos/players/250x250/p535818.png,,,21,,,5,12,10,4,,,,,,,,,,1,460,24.21,3,45,,,,2,0,17,10,6,1,5,0,0,0.32,0,0,31,14,45%,3,,,,,,,,
Adler,Nascimento,,Forward,,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,25/11/2004,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Adrián,Liverpool,Goalkeeper,190cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,03/01/1987  (37),139,https://resources.premierleague.com/premierleague/photos/players/250x250/p60706.png,38,186,,,,,,,,,,,,,,,0,10,0,"3,497",25.16,,,,,"1,106",10,2,5,,0,,,,,,,,,,,,464,5,57,150,53,112,550,"1,265"
Daniel,Adu-Adjei,,Midfielder,177cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/06/2005,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Nayef,Aguerd,West Ham United,Defender,190cm,Morocco,https://resources.premierleague.com/premierleague/flags/MA.png,30/03/1996  (27),37,https://resources.premierleague.com/premierleague/photos/players/250x250/p210494.png,7,68,49,59%,1,6,34,154,73,2,202,141,97,6,73,59,0,1,0,"1,792",48.43,1,4,0%,1,162,5,1,17,2,3,3,0,0,0,,,,,,,,,,,,,,,
Brandon,Aguilera,,Midfielder,179cm,Costa Rica,https://resources.premierleague.com/premierleague/flags/CR.png,28/06/2003,1,https://resources.premierleague.com/premierleague/photos/players/250x250/p461682.png,,,0,0%,,0,0,0,0,,0,0,3,0,0,0,,0,0,8,8.00,0,0,0%,0,0,0,0,3,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Enock,Agyei,Burnley,Forward,172cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,13/01/2005  (19),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Naouirou,Ahamada,Crystal Palace,Midfielder,183cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,29/03/2002  (21),23,https://resources.premierleague.com/premierleague/photos/players/250x250/p466117.png,,,7,71%,,3,1,3,0,,27,18,26,6,2,3,,0,0,139,6.04,0,7,0%,0,4,2,0,7,2,0,0,0,0,0,0.00,0,0,8,1,13%,0,,,,,,,,
Anel,Ahmedhodzic,Sheffield United,Defender,195cm,Bosnia &amp; Herzegovina,https://resources.premierleague.com/premierleague/flags/BA.png,26/03/1999  (24),20,https://resources.premierleague.com/premierleague/photos/players/250x250/p233821.png,1,52,44,61%,0,4,21,86,28,0,75,95,81,8,34,29,0,0,0,657,32.85,0,5,0%,0,29,8,0,26,1,1,0,1,0,1,,,,,,,,,,,,,,,
Ola,Aina,Nottingham Forest,Defender,184cm,Nigeria,https://resources.premierleague.com/premierleague/flags/NG.png,08/10/1996  (27),48,https://resources.premierleague.com/premierleague/photos/players/250x250/p159506.png,7,60,63,56%,0,5,53,111,57,0,200,175,154,32,42,44,0,0,2,"1,797",37.44,1,63,17%,1,73,6,0,45,4,3,0,1,1,0,,,,,,,,,,,,,,,
